Nome,total (1000 pessoas),Nível de ocupação das pessoas de 14 anos de idade ou mais (%),Taxa de desocupação das pessoas de 14 anos de idade ou mais (%),"Proporção de pessoas com rendimento domiciliar per capita abaixo de US$ 6,85 PPC 2017 (%)",Proporção de pessoas vivendo em domicílios com esgotamento por rede coletora ou pluvial (%),Proporção de pessoas vivendo em domicílios com máquina de lavar roupa (%),Proporção de pessoas vivendo em domicílios com acesso à Internet (%),"Proporção de pessoas de 18 a 29 anos de idade com no mínimo 12 anos de
estudo (%)",Ano
Integrada de Brasília em Goiás,1372.6890000586332,62.95159315052303,10.695055742169638,27.579093841956965,36.30428602353901,71.48940527426352,96.550241454594,68.53810379357537,2023
Norte de Goiás,491.70083419047995,62.15632697688846,4.17990809350322,17.401361679590664,34.25877124574564,70.06715180480367,94.27954516962538,69.12504589543998,2023
Sul de Goiás,1595.4193520559338,67.12496681584744,4.002103827567212,16.142502898762917,73.9554040600408,86.51869404583951,93.10742580566816,68.57971832156557,2023
Centro-Oeste de Goiás,1162.4438138172015,62.55027737425531,5.368923125894303,18.088222971634785,53.01693160330716,82.32835884428974,95.02442833345968,80.19002535551323,2023
Distrito Federal,3167.502000056439,61.8181784303991,10.130479707650203,15.414775595530749,90.13935265164167,89.20272539276084,97.5100642596572,82.54539519494834,2023
Brasil,214153.6409999966,55.966255205997626,9.579482586774564,31.621359236531205,67.45067715768288,71.04742016012841,92.06396047214992,71.26487035733719,2022
Porto-Velho,557.6420000002826,57.30229210776551,8.013029382422197,35.358255660687504,36.74459972007286,86.49014900713682,94.65437592146284,68.49125069055677,2022
Vilhena,455.8989996281003,56.12975155676287,1.734689497319166,28.45405217376667,28.600839706963598,85.22945885395542,92.07481387111163,70.85054479567907,2022
Ariquemes/Ji-Paraná,809.2710003720532,59.45060521822828,2.8838729724652916,26.24601727428913,12.783512058669142,72.3662556218413,90.1905882316469,61.99800024722391,2022
Rio Branco,425.42099999999976,48.26290090642115,16.78647049303538,43.83227707641406,79.07474505463404,73.93794474659164,88.07878299848518,75.41416686179159,2022
Acre exceto Rio Branco,476.41300000033107,46.69880116606663,7.6150014046074705,57.45675497992767,11.76499042379615,48.29460209397265,71.4775424073896,57.98564916604147,2022
Manaus,2291.7389999995767,56.23362886245419,15.297905707525539,43.2381291056687,69.48170678568367,84.16229829732548,96.00945530770876,77.41855761453326,2022
Entorno metropolitano de Manaus,381.8499999999598,47.356871453397424,9.903304324807692,59.108104978280466,11.982457922514522,75.15767317441981,85.50160893708781,67.33963166668075,2022
Vale do Rio Madeira/Nhamunda,576.7515525413496,56.14360355137935,9.984200276335951,73.26482123932149,12.969010645888646,37.710554817960286,65.51769716592247,61.43305976240987,2022
